"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "TypeScript JSX", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"e:\git\timeblock_new\refer\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -99, 0, 0, 0, -8, -18, -125
"e:\git\timeblock_new\refer\README.md", "Markdown", 0, 0, -13, 0, 0, 0, 0, 0, 0, -8, -21
"e:\git\timeblock_new\refer\components\HourCard.tsx", "TypeScript JSX", 0, 0, 0, 0, -43, 0, 0, 0, -2, -7, -52
"e:\git\timeblock_new\refer\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, -58, 0, 0, 0, -6, -5, -69
"e:\git\timeblock_new\refer\components\SourceList.tsx", "TypeScript JSX", 0, 0, 0, 0, -31, 0, 0, 0, 0, -3, -34
"e:\git\timeblock_new\refer\components\WeatherChart.tsx", "TypeScript JSX", 0, 0, 0, 0, -104, 0, 0, 0, 0, -15, -119
"e:\git\timeblock_new\refer\css\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -557, -59, -94, -710
"e:\git\timeblock_new\refer\index.html", "HTML", 0, 0, 0, 0, 0, -60, 0, 0, 0, 0, -60
"e:\git\timeblock_new\refer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, -13, 0, 0, 0, 0, -2, -15
"e:\git\timeblock_new\refer\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, -99, 0, -86, -23, -208
"e:\git\timeblock_new\refer\js\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, -16, 0, -34, -4, -54
"e:\git\timeblock_new\refer\js\firebase-service.js", "JavaScript", 0, 0, 0, 0, 0, 0, -88, 0, -76, -14, -178
"e:\git\timeblock_new\refer\js\goal-service.js", "JavaScript", 0, 0, 0, 0, 0, 0, -138, 0, -117, -29, -284
"e:\git\timeblock_new\refer\js\ui-service.js", "JavaScript", 0, 0, 0, 0, 0, 0, -246, 0, -98, -43, -387
"e:\git\timeblock_new\refer\js\utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, -169, 0, -158, -25, -352
"e:\git\timeblock_new\refer\metadata.json", "JSON", 0, 0, 0, -7, 0, 0, 0, 0, 0, 0, -7
"e:\git\timeblock_new\refer\package.json", "JSON", 0, 0, 0, -26, 0, 0, 0, 0, 0, -1, -27
"e:\git\timeblock_new\refer\services\gemini.ts", "TypeScript", 0, -99, 0, 0, 0, 0, 0, 0, -6, -16, -121
"e:\git\timeblock_new\refer\tsconfig.json", "JSON with Comments", -29, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29
"e:\git\timeblock_new\refer\types.ts", "TypeScript", 0, -25, 0, 0, 0, 0, 0, 0, 0, -3, -28
"e:\git\timeblock_new\refer\utils\cn.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"e:\git\timeblock_new\refer\vite.config.ts", "TypeScript", 0, -22, 0, 0, 0, 0, 0, 0, 0, -2, -24
"Total", "-", -29, -151, -13, -33, -348, -60, -756, -557, -650, -313, -2910
